num_qubits,num_fragments,num_vgates,num_threads,time
70,2,1,1,5.7490614640992135
70,2,1,2,2.9138907780870795
70,2,1,4,2.000886819092557
70,2,1,8,1.1213277499191463
70,2,1,16,1.1269286719616503
70,2,1,32,1.0891544790938497
70,3,2,1,47.1440455771517
70,3,2,2,25.450222415151075
70,3,2,4,13.086430530063808
70,3,2,8,7.840640139998868
70,3,2,16,4.716404568869621
70,3,2,32,3.988603899953887
70,4,3,1,3178.5868912430014
70,4,3,2,1616.9953954219818
70,4,3,4,822.1672779810615
70,4,3,8,503.4023849628866
70,4,3,16,246.3694409970194
70,4,3,32,130.6662592580542
70,5,4,1,4501.162414292106
70,5,4,2,2295.2195380250923
70,5,4,4,1171.9941869690083
70,5,4,8,634.3913286540192
70,5,4,16,332.70061815110967
70,5,4,32,175.4588407338597
