num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,11,12,18,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,21,18,35,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,18,21,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,29,18,29,2,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,21,24,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,43,18,28,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,35,53,25,35,2,4,74,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,57,24,36,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,43,58,24,28,2,3,73,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,50,62,27,32,2,3,73,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,56,79,24,35,2,3,73,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,61,80,36,46,2,4,74,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,11,15,24,2,2,42,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,22,29,43,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,33,37,48,59,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,51,59,67,72,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,63,85,63,94,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,94,109,71,106,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,107,126,93,114,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,141,146,106,107,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,152,171,130,117,2,2,42,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,167,175,94,109,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,208,238,116,142,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,254,276,127,181,2,1,36,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,12,15,26,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,18,18,29,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,21,27,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,18,24,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,21,36,24,24,2,3,73,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,27,32,21,24,2,3,73,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,50,21,26,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,48,21,33,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,64,21,38,2,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,40,67,24,50,2,3,73,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,47,70,29,35,2,3,13,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,57,81,30,60,2,3,73,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,11,15,29,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,11,16,21,25,2,3,73,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,23,15,24,2,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,17,32,23,29,2,3,73,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,23,34,25,24,2,3,73,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,46,21,38,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,47,18,32,2,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,38,61,35,38,2,3,73,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,42,54,25,35,2,3,13,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,52,67,27,32,2,3,73,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,60,82,45,46,2,4,74,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,85,71,41,40,2,2,72,0.0,0.0,0.0
